Name,Price,Size,Number of beds,Number of bathrooms,Type,Furnished Status,Location,District,State,Facilities,Public transport
"Muze @ PICC, Bayan Lepas, Penang",3300,1098,3.0,2.0,Condominium,Fully Furnished,"Persiaran Mahsuri, Off Jalan Tun Dr Awang, 11950 Bayan Lepas, Penang",Bayan Lepas,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"i-Suite @ i-City, I-City, Selangor",1400,626,2.0,1.0,Apartment,Fully Furnished,"Jalan Multimedia 7/AG, Off Jalan Siber, 40000 I-City, Selangor",I-City,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Residensi Seri Wahyu @ Jalan Kuching KL, KL City, Kuala Lumpur",1400,900,3.0,2.0,Apartment,Partially Furnished,"Jalan Sibu, Taman Wahyu, 68100 KL City, Kuala Lumpur",KL City,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Traders Park Residence, Cheras, Selangor",1900,604,2.0,2.0,Service Residence,Fully Furnished,"Jalan Suakasih, 43200 Cheras, Selangor",Cheras,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"V Residence Suites @ Sunway Velocity, Cheras, Kuala Lumpur",2750,693,2.0,1.0,Service Residence,Fully Furnished,"Lingkaran SV1 Sunway Velocity, 55100 Cheras, Kuala Lumpur",Cheras,Kuala Lumpur,"Security, Swimming Pool, Playground, Gymnasium",False
"Riveria Bay Apartments, Kota Samarahan, Sarawak",1300,947,2.0,2.0,Apartment,Fully Furnished,"Jalan Tiya Vista, Off Kuching - Samarahan Expressway, 94300 Kota Samarahan, Sarawak",Kota Samarahan,Sarawak,"Parking, Security, Playground, Minimart, Jogging Track",False
"Durian Tunggal, Melaka",1500,2880,5.0,3.0,Semi-Detached House,Not Furnished,"Durian Tunggal, Melaka",Durian Tunggal,Melaka,None,False
"Avona Residence, Kuching, Sarawak",2900,796,2.0,2.0,Service Residence,Fully Furnished,"The Northbank, Off Kuching - Samarahan Expressway, 93350 Kuching, Sarawak",Kuching,Sarawak,"Swimming Pool, Playground, Gymnasium, Barbeque area, Tennis Court",False
"Sky Suites @ KLCC, KLCC, Kuala Lumpur",3600,750,2.0,2.0,Service Residence,Fully Furnished,"Jalan P. Ramlee, 50250 KLCC, Kuala Lumpur",KLCC,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna",False
"Bukit Mertajam, Penang",1600,1800,4.0,3.0,2-storey Terraced House,Partially Furnished,"Bukit Mertajam, Penang",Bukit Mertajam,Penang,Parking,False
"Putrajaya, Putrajaya",4300,3000,4.0,3.0,2-storey Terraced House,Fully Furnished,"Putrajaya, Putrajaya",Putrajaya,Putrajaya,None,False
